# Adapted from https://github.com/openbabel/openbabel/blob/master/data/phmodel.txt
# this uses SMARTS extensions described here: https://www.rdkit.org/docs/RDKit_Book.html#smarts-reference
group;ph;charge;description
# ionizable nitrogens
"[N^3v3+0,N^3v4!H0+1;$(N-[#6^3+0]);!$(N~[!#6;!#1]);!$(N-a);!$(N-[#6,#16]=[#7,#8]):1]";<10.0;+1;charged amine
"[N^2v3+0,N^2v4!H0+1;$(N-[#6^2+0]);!$(N~[!#6;!#1]);!$(N-[#6,#16]=[#7,#8]):1]";<4.6;+1;charged aniline
"[N^2v3+0,N^2v4!H0+1;$(N=[#6^2+0]);!$(N~[!#6;!#1]);!$(N=C~[#7,#8]):1]";<4.0;+1;imine
"[N^2v3+0,N^2v4!H0+1;$(N=[#6^2+0]~[N^2+0]);!$(N~[!#6;!#1]):1]";<12.5;+1;guanidine or amidine
# ionizable ring nitrogens
"[nd2H0+0,nd2H1+1:1]1c[nH]cc1";<7.0;+1;imidazole
"[nd2H1-0,nd2H0-1:1]1[nd2H0-0][nd2H0-0][nd2H0-0]c1";>4.89;-1;tetrazole
"[nd2H0-0]1[nd2H1-0,nd2H0-1:1][nd2H0-0][nd2H0-0]c1";>4.89;-1;tetrazole
# ionizable oxygens
"[Od1+0,Od1H1+0,Od1H0-1;$(O-C=O):1]";>4.0;-1;carboxy group
"[Od1+0,Od1H1+0,Od1H0-1;$([Od1]-NC=O):1]";>8.0;-1;hydroxamic acid
"[Od1+0,Od1H1+0,Od1H0-1;$([Od1]-C=CC=O):1]";>4.0;-1;vinylogous carboxylic acids (e.g. ascorbic acid)
"[Od1+0,Od1H1+0,Od1H0-1;$([Od1]-[#6^2]);!$(O~[!#6;!#1]);!$(O-[#6,#16]=[#7,#8]);!$(OC=CC=O):1]";>10.0;-1;phenol or tyrosine
"[Od1+0,Od1H1+0,Od1H0-1;$([Od1]-[#6]);!$(O~[!#6;!#1]);!$(O-a);!$(O-[#6,#16]=[#7,#8]);!$(OC=CC=O):1]";>16.0;-1;alkohol or serine
# ionizable sulfo oxygens
"[Od1+0,Od1H1+0,Od1H0-1;$([Od1]-[Sd3](=O)):1]";>2.0;-1;sulfinic acid
"[Od1+0,Od1H1+0,Od1H0-1;$([Od1]-[Sd4]([Od1,!d1])(=O)(=O)):1]";>-2.6;-1;sulfonic acid, or sulfates
# ionizable phospho oxygens
"[Od1+0,Od1H1+0,Od1H0-1;$([Od1]-[P;d4](=O)([Od1,Od2H0])([Od1,Od2H0,#6])):1]";>2.2;-1;phosphoric or phosphonic acid (or ester), or phosphate
# NOTE: phosphate second ionization happens around pH 7
# this nuance will be missed in this model as above pattern ionizes both at once!
# the attempt to make this dynamic would be beyond the scope of this simplistic model
# "[Od1+0,Od1H1+0,Od1H0-1;$([Od1]-[P;d4](=O)([Od1H0-1])([Od2H0,#6])):1]";>7.2;-1;
# ionizable sulfurs
"[Sd1v2+0,Sd1v2H1+0,Sd1v2H0-1;!$(S~[!#6;!#1]);!$(S-a);!$(S-[#6,#16]=[#7,#8]):1]";>8.3;-1;thiol or cysteine
"[Sd1v2+0,Sd1v2H1+0,Sd1v2H0-1;$([Sd1]-c);!$(S~[!#6;!#1]);!$(S-[#6,#16]=[#7,#8]):1]";>6.6;-1;thiophenol
